BigBlueButtonBN,Fail,Faili esitamine,Foorum,Hindajaraport,Kaust,Kommentaarid tööle,Küsitlus,Leht,Logid,Minu hinderaport,Onlain teksti esitamine,Osalemine,Prügikast,Rühma valimine,Süsteem,Tagasiside,Tegevuste aruanne,Test,Tund,URL,Virtual programming lab,Õppijaraport,Ülesanne,Ülevaate aruanne,label,web,activities,test,y
0.0,0.83,0.33,2.17,0.0,1.67,0.0,1.0,4.83,0.0,0.0,0.0,0.0,0.0,1.33,55.5,2.0,0.0,72.17,2.5,9.67,37.67,0.17,2.33,0.0,3,1,1.73,16.5,95.72
0.0,0.67,0.33,6.17,0.0,1.33,0.0,0.67,4.0,0.0,0.0,0.0,0.5,0.0,0.17,33.67,0.5,0.0,57.83,4.17,8.83,16.0,1.83,2.0,0.17,3,1,1.1,16.0,64.66
0.0,0.33,0.33,12.0,0.0,0.0,0.0,0.5,6.67,0.0,0.0,0.0,0.0,0.0,0.17,46.67,1.17,0.0,60.67,2.67,10.33,22.5,1.67,2.0,0.0,3,1,2.89,19.5,99.6
0.0,2.17,0.33,1.5,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.17,0.0,0.83,16.5,1.33,0.0,35.0,2.0,6.5,16.17,0.0,2.33,0.0,3,1,2.05,14.0,86.89
0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.33,0.0,1.83,0.0,2.33,1.5,0.17,0.0,0.0,3,1,0.0,0.0,1.0
0.0,0.17,0.67,4.0,0.0,0.0,0.0,0.67,2.67,0.0,0.0,0.0,0.17,0.0,0.0,24.17,1.17,0.0,104.83,0.0,6.5,13.83,2.67,4.67,0.17,3,1,2.85,3.0,17.0
0.0,0.33,0.33,0.5,0.0,0.0,0.0,0.67,2.17,0.0,0.0,0.0,0.0,0.0,0.17,39.5,1.0,0.0,88.5,0.5,2.5,42.67,0.33,1.33,0.0,3,1,3.0,20.0,110.0
0.0,0.17,0.33,4.5,0.0,0.17,0.0,0.67,2.5,0.0,0.0,0.0,0.0,0.0,0.0,30.83,0.5,0.0,60.0,0.5,4.5,18.5,0.5,1.33,0.0,3,1,2.48,9.5,78.71
0.0,0.67,0.33,3.67,0.0,0.0,0.0,0.5,1.83,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.67,0.0,25.17,1.5,5.17,6.67,2.0,1.33,0.0,3,1,1.77,11.0,78.06
0.0,0.33,0.33,7.17,0.0,1.33,0.0,0.67,2.33,0.0,0.0,0.0,0.0,0.0,0.17,41.0,1.67,0.0,108.5,0.5,4.33,41.33,4.0,2.67,1.17,3,1,2.82,12.0,52.23
0.0,0.5,0.33,1.5,0.0,0.33,0.0,0.5,2.67,0.0,0.0,0.0,0.0,0.0,0.0,29.67,0.67,0.0,67.17,2.67,4.5,12.17,1.33,1.33,0.0,3,1,2.9,20.0,92.8
0.0,0.5,0.33,2.17,0.0,0.17,0.0,0.5,1.67,0.0,0.0,0.0,0.0,0.0,0.17,33.5,1.0,0.0,68.0,9.67,4.5,26.33,2.67,2.5,0.0,3,1,2.5,20.0,101.9
0.0,0.83,0.33,6.67,0.0,1.5,0.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,25.17,0.33,0.0,40.17,0.5,6.17,8.0,0.17,2.67,0.17,3,1,1.44,6.0,52.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.17,0.0,11.0,0.0,1.67,6.33,0.5,0.0,0.0,3,1,0.49,16.5,66.46
0.0,0.5,0.33,6.5,0.0,0.67,0.0,0.5,1.83,0.0,0.0,0.0,0.0,0.0,0.0,19.83,0.0,0.0,66.17,0.0,6.17,11.67,0.0,1.67,0.0,3,1,1.65,14.0,18.98
0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,1.17,0.5,1.33,13.33,0.0,1.17,0.0,3,1,0.05,0.0,5.35
0.0,0.17,0.33,10.0,0.0,0.67,0.0,0.5,1.83,0.0,0.0,0.0,1.33,0.0,0.33,64.17,0.83,0.0,153.5,4.5,7.17,43.17,17.5,5.5,0.0,4,0,2.11,11.5,42.23
0.0,0.33,0.33,1.17,0.0,0.17,0.0,0.5,3.17,0.0,0.0,0.0,1.0,0.0,1.0,50.83,0.5,0.0,133.17,6.0,9.83,52.67,1.5,2.33,0.0,4,0,3.0,20.0,98.7
0.0,1.17,0.33,3.83,0.0,2.33,0.0,0.67,9.0,0.0,0.0,0.0,1.17,0.0,0.5,97.5,2.67,0.0,265.67,10.33,16.17,71.17,0.83,4.83,0.0,4,0,2.88,19.0,98.4
0.0,0.67,0.33,6.17,0.0,0.0,0.0,0.67,2.0,0.0,0.0,0.0,0.5,0.0,0.17,38.83,1.33,0.0,103.5,0.5,7.33,34.0,0.0,2.0,0.0,4,0,2.53,14.1,78.21
0.0,1.0,0.33,0.0,0.0,0.0,0.0,0.67,1.83,0.0,0.0,0.0,0.17,0.0,0.0,26.17,0.83,0.0,60.0,1.33,4.67,5.83,1.33,1.33,0.0,4,0,1.88,10.5,57.94
0.0,0.83,0.33,19.0,0.0,0.0,0.0,0.5,2.17,0.0,0.0,0.0,0.33,0.0,0.17,50.5,2.67,0.0,67.83,6.0,8.33,46.83,0.0,2.67,0.0,4,0,2.61,19.5,92.69
0.0,0.5,0.33,3.83,0.0,0.33,0.0,0.83,2.0,0.0,0.0,0.0,1.0,0.0,0.17,40.67,0.5,0.0,157.83,12.0,7.83,23.17,0.0,2.5,0.0,4,0,3.0,11.5,88.5
0.0,0.17,0.67,0.83,0.0,0.0,0.0,0.5,4.83,0.0,0.0,0.0,0.17,0.0,0.83,48.67,2.67,0.0,145.0,9.17,3.5,26.33,1.5,4.67,0.0,4,0,3.0,18.0,89.4
0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.83,0.0,0.83,26.67,0.33,0.0,94.17,4.17,5.17,36.0,2.0,2.0,0.0,4,0,2.77,16.5,87.7
0.0,0.33,0.67,6.83,0.0,0.17,0.0,1.33,2.17,0.0,0.0,0.0,1.0,0.0,1.17,59.17,0.83,0.0,126.5,13.33,8.83,50.33,0.33,3.67,0.0,4,0,3.0,20.0,100.4
0.0,1.5,0.67,3.0,0.0,1.83,0.0,0.83,7.0,0.0,0.0,0.0,0.33,0.0,0.83,90.17,1.83,0.0,230.33,9.0,9.33,34.0,14.83,3.0,0.0,4,0,2.99,10.7,84.6
0.0,0.67,1.0,3.67,0.0,0.17,0.0,0.67,2.67,0.0,0.0,0.67,0.17,0.0,0.0,29.0,0.33,0.0,77.17,0.5,2.5,14.83,3.67,8.5,0.0,4,0,2.96,19.0,93.29
0.0,0.5,0.67,11.17,0.0,0.5,0.0,0.83,1.5,0.0,0.0,0.0,1.0,0.0,0.0,57.33,1.83,0.0,196.83,3.67,5.33,38.67,0.0,2.67,0.0,4,0,2.97,18.5,83.64
0.0,0.83,0.67,11.0,0.0,0.17,0.0,0.5,1.67,0.0,0.0,0.0,1.0,0.0,0.17,53.33,2.67,0.0,121.0,12.33,11.0,38.83,0.0,4.33,0.0,4,0,3.0,19.5,101.7
0.0,0.33,0.33,0.0,0.0,0.17,0.0,0.5,0.83,0.0,0.0,0.0,0.67,0.0,0.0,14.5,0.33,0.0,20.0,0.0,2.5,19.67,0.0,1.33,0.0,4,0,1.43,19.0,80.75
0.0,1.0,0.0,5.67,0.0,0.33,0.0,0.5,5.0,0.0,0.0,0.0,0.17,0.0,0.0,34.17,0.5,0.0,114.17,1.0,6.5,26.67,0.0,1.0,0.0,4,0,2.39,13.0,68.46
0.0,0.83,0.33,1.67,0.0,0.17,0.0,0.83,5.0,0.0,0.0,0.0,0.17,0.0,1.33,46.83,2.83,0.0,55.0,0.0,8.17,49.17,4.83,5.33,0.17,1,1,2.25,15.0,80.73
0.0,0.17,0.67,14.33,0.0,0.5,0.0,0.67,4.17,0.0,0.0,0.0,0.0,0.0,0.17,56.33,1.17,0.0,57.83,2.5,6.17,24.67,8.17,3.67,0.5,1,1,3.0,20.0,104.9
0.0,0.5,0.33,9.83,0.0,0.33,0.0,0.67,6.17,0.0,0.0,0.0,0.67,0.0,0.17,64.83,0.67,0.0,150.83,5.33,14.5,27.33,3.83,3.0,0.17,1,1,2.9,20.0,100.8
0.0,0.33,0.67,13.5,0.0,0.0,0.0,0.5,3.33,0.0,0.0,0.0,0.0,0.0,0.17,60.0,0.33,0.0,173.83,0.5,11.5,41.17,0.67,3.67,0.0,1,1,3.0,20.0,108.5
0.0,0.17,0.33,0.0,0.0,0.33,0.0,0.83,2.17,0.0,0.0,0.0,0.0,0.0,0.0,31.17,0.83,0.0,72.67,0.0,2.17,18.0,2.83,1.5,0.17,1,1,2.84,20.0,94.3
0.0,0.5,0.33,0.67,0.0,0.17,0.0,0.67,5.17,0.0,0.0,0.0,0.0,0.0,0.17,36.83,1.0,0.0,79.5,0.17,6.5,20.17,5.5,1.33,0.17,1,1,2.45,20.0,82.2
0.0,0.83,0.33,12.5,0.0,0.5,0.0,0.5,3.83,0.0,0.0,0.0,0.17,0.0,0.67,40.5,1.17,0.0,64.17,0.5,9.5,13.0,0.33,2.0,0.33,1,1,2.44,13.0,83.47
0.0,0.17,0.33,3.67,0.0,1.0,0.0,0.5,2.33,0.0,0.0,0.0,0.0,0.0,0.0,32.17,1.0,0.0,82.67,0.0,6.33,21.0,1.33,1.67,0.0,1,1,2.65,14.5,84.02
0.0,0.17,0.33,1.33,0.0,0.0,0.0,0.67,1.83,0.0,0.0,0.0,0.0,0.0,0.17,29.67,0.33,0.0,54.33,0.0,4.0,14.33,0.0,2.0,0.0,1,1,2.65,20.0,103.8
0.0,0.5,1.0,2.0,0.0,0.33,0.0,0.5,3.17,0.0,0.0,0.67,0.0,0.0,0.17,44.67,2.83,0.0,94.5,4.0,5.0,24.67,0.67,12.5,0.33,1,1,2.98,19.0,101.5
0.0,1.67,0.33,8.83,0.0,1.5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.17,52.17,1.0,0.0,117.67,5.17,6.83,23.33,6.67,3.5,0.0,1,1,2.68,19.0,83.6
0.0,0.33,0.33,13.0,0.0,0.33,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.33,27.0,0.67,0.0,64.0,1.5,8.17,25.33,0.33,2.33,0.0,1,1,2.19,19.0,96.95
0.0,0.17,0.33,0.67,0.0,0.0,0.0,0.5,2.83,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,61.33,3.17,6.17,15.67,0.0,4.33,0.0,1,1,2.31,18.0,94.09
0.0,0.17,1.0,2.0,0.0,0.0,0.0,0.5,2.33,0.0,0.0,0.67,0.0,0.0,0.0,19.0,0.83,0.0,60.0,0.0,1.5,10.67,0.0,9.5,0.0,1,1,2.7,20.0,98.47
0.0,0.33,0.33,0.67,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,30.67,0.5,0.0,48.5,0.0,9.83,20.33,0.0,1.33,0.0,1,1,2.4,20.0,87.86
0.0,0.17,0.33,1.33,0.0,0.0,0.0,1.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.5,0.0,31.33,0.0,6.33,18.17,1.33,2.33,0.0,1,1,2.79,20.0,94.3
0.0,0.17,0.0,1.5,0.0,0.0,0.0,0.5,2.67,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.33,0.0,40.17,0.0,4.5,14.83,0.33,1.0,0.0,1,1,2.3,18.5,83.65
0.0,0.33,0.33,0.17,0.0,0.0,0.0,0.5,3.83,0.0,0.0,0.0,0.0,0.0,0.0,32.67,0.83,0.0,44.0,0.0,6.33,12.17,0.0,4.0,0.0,1,1,1.9,16.5,56.24
0.0,0.33,0.33,1.0,0.0,0.17,0.0,0.83,3.0,0.0,0.0,0.0,0.0,0.0,0.17,28.0,1.83,0.0,70.67,5.0,8.0,29.5,0.5,3.0,0.17,1,1,2.68,11.0,84.92
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.17,1,1,0.0,0.0,0.0
0.0,0.83,0.67,4.5,0.0,0.33,0.0,1.33,5.33,0.0,0.0,0.0,0.0,0.0,0.0,75.17,3.0,0.0,111.83,1.67,15.33,58.5,0.5,9.33,0.0,1,1,2.6,17.0,88.68
