student_id,BigBlueButtonBN,Fail,Faili esitamine,Foorum,Hindajaraport,Kaust,Kommentaarid tööle,Küsitlus,Leht,Logid,Minu hinderaport,Onlain teksti esitamine,Osalemine,Prügikast,Rühma valimine,Süsteem,Tagasiside,Tegevuste aruanne,Test,Tund,URL,Virtual programming lab,Õppijaraport,Ülesanne,Ülevaate aruanne,label,web,y
1,0.0,0.3125,0.75,2.875,0.0,0.0625,0.0,0.375,1.625,0.0,0.0,0.375,0.0,0.0,0.4375,10.5625,0.5625,0.0,21.0,0.5625,4.125,4.9375,2.1875,3.9375,0.0,3,1,78.06
2,0.0,0.625,0.875,1.6875,0.0,1.1875,0.0,0.9375,2.625,0.0,0.0,0.375,0.0625,0.0,0.8125,43.5625,1.5,0.0,57.3125,0.9375,6.5,30.9375,0.0625,5.1875,0.0,3,1,95.72
3,0.0,0.375,0.5,8.25,0.0,0.25,0.0,0.625,4.375,0.0,0.0,0.25,0.0,0.0,1.5625,33.4375,0.8125,0.0,36.8125,1.0,7.75,16.3125,1.625,7.4375,0.1875,3,1,99.6
4,0.0,1.0,1.0,3.0625,0.0,2.0,0.0,1.0,2.3125,0.0,0.0,0.375,0.3125,0.0,0.3125,35.1875,0.3125,0.0,93.125,1.8125,6.8125,18.6875,3.4375,6.75,0.25,3,1,64.66
5,0.0,0.5,0.75,2.875,0.0,0.6875,0.0,0.8125,1.25,0.0,0.0,0.375,0.125,0.0,0.4375,24.4375,0.75,0.0,59.4375,0.1875,3.0625,36.1875,3.25,3.75,0.5625,3,1,52.23
6,0.0,1.6875,0.625,1.1875,0.0,0.375,0.0,0.5625,1.8125,0.0,0.0,0.375,0.0625,0.0,0.8125,14.6875,0.625,0.0,24.625,0.75,4.5,18.75,0.0,5.9375,0.0,3,1,86.89
7,0.0,0.3125,0.5,1.0625,0.0,0.1875,0.0,0.375,1.5625,0.0,0.0,0.25,0.0625,0.0,0.6875,21.4375,0.25,0.0,47.0,1.0,2.375,10.0625,1.75,3.3125,0.0,3,1,92.8
8,0.0,0.5,0.625,10.0625,0.0,0.875,0.0,0.4375,2.5625,0.0,0.0,0.375,0.0625,0.0,0.625,25.5,0.25,0.0,27.0,0.1875,4.5,4.5625,2.4375,5.5625,0.25,3,1,52.05
9,0.0,0.25,0.625,0.8125,0.0,0.625,0.0,0.25,1.5625,0.0,0.0,0.375,0.0,0.0,0.375,27.3125,0.5625,0.0,58.375,0.375,1.75,33.25,0.75,3.125,0.0625,3,1,110.0
10,0.0,0.4375,1.125,2.25,0.0,0.25,0.0,0.375,1.0,0.0,0.0,0.75,0.0,0.0,0.625,28.0,0.375,0.0,49.0625,3.625,3.4375,29.5,3.25,6.0625,0.0,3,1,101.9
11,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,0.125,0.0,0.6875,0.0,0.875,0.5625,0.125,0.0,0.0,3,1,1.0
12,0.0,0.1875,0.625,3.6875,0.0,0.125,0.0,0.625,1.4375,0.0,0.0,0.125,0.0625,0.0,0.6875,23.875,0.3125,0.0,37.5,0.5625,3.625,20.1875,1.0,3.75,0.0,3,1,78.71
13,0.0,0.3125,0.25,0.0,0.0,0.0,0.0,0.625,1.125,0.0,0.0,0.0,0.0,0.0,0.25,12.625,0.0625,0.0,21.4375,0.0,2.0,4.125,2.3125,1.125,0.0,3,1,66.46
14,0.0,0.25,0.25,4.125,0.0,0.3125,0.0,0.1875,1.3125,0.0,0.0,0.0,0.0625,0.0,0.4375,11.25,0.0625,0.0,28.625,0.0,2.6875,5.1875,0.25,2.125,0.0,3,1,18.98
15,0.0,0.0625,0.375,3.4375,0.0,0.0,0.0,0.25,1.3125,0.0,0.0,0.125,0.0625,0.0,0.5625,11.9375,0.4375,0.0,43.25,0.0,2.6875,7.25,1.1875,3.5,0.0625,3,1,17.0
16,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0625,2.25,0.0,0.0,0.4375,0.1875,0.5625,5.0,0.0,0.4375,0.0,3,1,5.35
17,0.0,1.125,0.75,1.4375,0.0,1.0625,0.0,0.5625,6.5,0.0,0.0,0.375,0.875,0.0,0.625,85.6875,2.4375,0.0,214.375,10.0625,12.0,60.125,8.375,7.0625,0.0,5,0,98.4
18,0.0,0.375,0.625,8.625,0.0,0.75,0.0,0.8125,1.5,0.0,0.0,0.375,0.6875,0.0,0.8125,51.8125,0.8125,0.0,121.1875,2.875,3.6875,28.625,18.625,10.6875,0.0,5,0,42.23
19,0.0,0.0625,0.75,3.25,0.0,0.4375,0.0,1.0,3.1875,0.0,0.0,0.125,0.1875,0.0,0.375,38.125,1.4375,0.0,116.6875,3.4375,2.125,17.75,1.4375,5.25,0.0,5,0,89.4
